Município;IDH;codibge
Indiaroba;0,58;802809
Tamboril;0,58;313203
Jaguaquara;0,58;917607
Maurilândia do Tocantins;0,58;712801
Amaraji;0,58;600906
Fortuna;0,58;104206
São Francisco;0,58;513984
São Bento;0,58;110500
Ibirajuba;0,58;606705
Ponto Novo;0,58;925253
Desterro;0,58;505402
Elesbão Veloso;0,58;203503
Primavera;0,58;506104
Tanque do Piauí;0,579;210979
Cordeiros;0,579;909000
Umbaúba;0,579;807600
Juarez Távora;0,579;507606
São Desidério;0,579;928901
Cachoeirinha;0,579;703826
Pilar;0,579;511509
Sucupira do Norte;0,579;111904
Areia Branca;0,579;401107
Remanso;0,579;926004
Banzaê;0,579;902658
Lagoa do Tocantins;0,579;711951
Ipaporanga;0,579;305654
Cipotânea;0,579;116308
Tucano;0,579;931905
Canguaretama;0,579;402204
Aparecida;0,578;500775
Belém de Maria;0,578;601508
Machados;0,578;609105
Alcantil;0,578;500536
Taperoá;0,578;516508
Caririaçu;0,578;303204
Baião;0,578;501204
Curuá;0,578;502855
Piritiba;0,578;924801
Belém do Brejo do Cruz;0,578;502003
Riachão das Neves;0,578;926202
Alvorada do Gurguéia;0,578;200459
Aquidabã;0,578;800209
São José do Bonfim;0,578;514602
Cachoeira de Pajeú;0,578;102704
Monte Alegre do Piauí;0,578;206605
Terra Nova;0,578;615201
Firmino Alves;0,578;910909
Malhada de Pedras;0,578;920304
Itamari;0,578;915700
Coronel João Pessoa;0,578;402907
Itambé;0,578;607653
Bacuri;0,578;101301
Antônio Martins;0,578;400901
Quixabeira;0,578;925931
Cametá;0,577;502103
Primavera;0,577;506104
Brasileira;0,577;201960
Francisco Ayres;0,577;204105
Tanhaçu;0,577;931004
Barra D'Alcântara;0,577;201176
São Sebastião do Uatumã;0,577;303957
Quixaba;0,577;512606
Santa Cruz de Salinas;0,577;157377
Gracho Cardoso;0,577;#N/D
Contendas do Sincorá;0,577;908804
Vereda;0,577;933257
Santa Cruz dos Milagres;0,577;209153
Barra do Rocha;0,577;903102
Nossa Senhora Aparecida;0,577;804458
Autazes;0,577;300300
Ibaretama;0,577;305266
Paripiranga;0,577;923803
União;0,577;211100
Pindobaçu;0,577;924603
São José de Espinharas;0,577;514404
Barra de Guabiraba;0,577;601300
Mar Vermelho;0,577;704906
João Alfredo;0,576;608107
Itaubal;0,576;600253
Ibirataia;0,576;912905
Goiatins;0,576;709005
Olho D'Água do Piauí;0,576;207108
Irajuba;0,576;914208
Canto do Buriti;0,576;202307
Carinhanha;0,576;907103
Nazaré do Piauí;0,576;206704
Exu;0,576;605301
Maiquinique;0,576;920007
Rio do Antônio;0,576;926806
Frei Miguelinho;0,576;605806
Riachão;0,576;109502
Tarrafas;0,576;313252
Pirapemas;0,576;108801
Alagoa Nova;0,576;500403
Coroatá;0,576;103604
Bela Vista do Piauí;0,576;201556
Gongogi;0,576;911501
Água Boa;0,576;100609
Poção de Pedras;0,576;108900
Porto Acre;0,576;200807
Vila Flor;0,576;415008
Piripá;0,575;924702
Saboeiro;0,575;311900
Montes Altos;0,575;107001
Belo Campo;0,575;903508
Jupi;0,575;608305
Parnaguá;0,575;207603
Junqueiro;0,575;704005
Mocajuba;0,575;504604
Jaqueira;0,575;607950
Paes Landim;0,575;207306
Itambé;0,575;607653
Botuporã;0,575;904209
Simões;0,575;210706
Capixaba;0,575;200179
Abaré;0,575;900207
Barra da Estiva;0,575;902807
Aratuípe;0,575;902302
Jitaúna;0,575;918308
Chã Preta;0,575;701902
Boa Hora;0,575;201770
Olinda Nova do Maranhão;0,575;107456
Várzea do Poço;0,575;933109
Riachão;0,574;109502
Baraúna;0,574;401453
Santa Inês;0,574;109908
Igrapiúna;0,574;913457
Brejinho;0,574;401800
Pedra Lavrada;0,574;511103
São Félix do Tocantins;0,574;720150
Santo Antônio do Jacinto;0,574;160306
Carutapera;0,574;102903
Buriti dos Montes;0,574;202026
Maragogi;0,574;704500
Iaçu;0,574;911907
Pau D'Arco;0,574;505551
Catingueira;0,574;504207
Januário Cicco;0,574;405306
Pindoba;0,574;707008
Benjamin Constant;0,574;300607
Santana do Piauí;0,574;209351
Mogeiro;0,574;509404
Caiçara do Norte;0,574;401859
Bonito de Santa Fé;0,574;502409
Barreirinha;0,574;300508
Manoel Emídio;0,573;205904
Ipueiras;0,573;709807
Pedra Bonita;0,573;148756
São José da Laje;0,573;708303
São Sebastião do Tocantins;0,573;720309
Capela;0,573;701704
Nova Olinda;0,573;714880
Carnaubeira da Penha;0,573;603926
Cerro Azul;0,573;105201
Caldeirão Grande;0,573;905503
São José do Peixe;0,573;210102
Sossêgo;0,573;516151
Alcântara;0,573;100204
Tacaratu;0,573;614808
Cristalândia do Piauí;0,573;203008
Sobrado;0,573;515971
Alvorada de Minas;0,572;102407
São Brás;0,572;708204
Piaçabuçu;0,572;706802
Ouricuri;0,572;609907
Cumaru;0,572;604908
Angelim;0,572;601003
Santa Inês;0,572;109908
Olho D'Água;0,572;510402
Maturéia;0,572;509396
Itaeté;0,572;915007
Barra de São Miguel;0,572;501708
Água Branca;0,572;200202
Itapebi;0,572;916302
Touros;0,572;414407
Sítio Novo;0,572;111805
Mairi;0,572;920106
Matina;0,572;921054
Planaltino;0,572;924900
Rio Real;0,572;927002
Rio Grande do Piauí;0,572;209005
Tuntum;0,572;112308
São Bernardo;0,572;110609
Governador Eugênio Barros;0,572;104602
Riachinho;0,572;718550
Inhangapi;0,572;503408
Vieirópolis;0,571;517209
Calumbi;0,571;603405
Várzea Grande;0,571;211407
Santa Helena;0,571;109809
Novo Cruzeiro;0,571;145307
Itapitanga;0,571;916609
Pedro Ii;0,571;207900
Barroquinha;0,571;302057
Jussara;0,571;918506
Viçosa do Ceará;0,571;314102
Caturama;0,571;907558
Piatã;0,571;924306
Iramaia;0,571;914307
Palmeirante;0,571;715705
Lizarda;0,57;712405
Maracanã;0,57;504307
Juazeiro do Piauí;0,57;205516
Cuitegi;0,57;505204
Graça;0,57;304657
Graça Aranha;0,57;104701
Pitimbu;0,57;511905
Parambu;0,57;310308
Barreirinhas;0,57;101707
Santo Antônio do Retiro;0,57;160454
Nova Ibiá;0,57;922755
Riacho das Almas;0,57;611705
São Francisco do Piauí;0,57;209708
Brotas de Macaúbas;0,57;904506
Vitorino Freire;0,57;113009
Esperantina;0,57;707405
São João;0,57;613206
Lagoa de Dentro;0,57;508208
Casa Nova;0,57;907202
Araças;0,57;#N/D
Serra Redonda;0,57;515807
Campo Alegre;0,57;701407
Senador Georgino Avelino;0,57;413201
Ituaçu;0,57;917201
Japaratinga;0,57;703601
Novo Airão;0,57;303205
Mata Roma;0,57;106409
Juru;0,57;508000
Rio do Fogo;0,569;408953
Taipu;0,569;413904
Aiuaba;0,569;300408
Japi;0,569;405405
Caapiranga;0,569;300839
Centenário;0,569;704105
Maravilha;0,569;704609
Sapé;0,569;515302
Guajeru;0,569;911659
Jandaíra;0,569;405108
Igarapé do Meio;0,569;105153
Canhoba;0,569;801108
Panelas;0,569;610202
Governador Nunes Freire;0,569;104677
São João da Ponte;0,569;162401
Messias;0,568;705200
Igreja Nova;0,568;703205
Gonçalves Dias;0,568;104404
Anadia;0,568;700201
Careiro da Várzea;0,568;301159
Congonhas do Norte;0,568;118106
Cortês;0,568;604809
Salgado de São Félix;0,568;513109
General Sampaio;0,568;304608
Ourém;0,568;505403
Aurelino Leal;0,568;902401
Riacho dos Cavalos;0,568;512804
Breu Branco;0,568;501782
Porto da Folha;0,568;805604
Pedro Velho;0,568;409803
Bananeiras;0,568;501500
Caldas Brandão;0,568;503803
Apicum-Açu;0,568;100832
Sucupira do Riachão;0,568;111953
Pureza;0,567;410405
Jussari;0,567;918555
Rodrigues Alves;0,567;200427
Camalaú;0,567;503902
Santa Rosa do Piauí;0,567;209377
Boa Nova;0,567;903706
Juazeirinho;0,567;507705
Barra de Santana;0,567;501575
Magalhães de Almeida;0,567;106300
Araruna;0,567;501005
Canindé de São Francisco;0,567;801207
Massaranduba;0,567;509206
Santa Helena de Minas;0,567;157658
Euclides da Cunha;0,567;910701
Casinhas;0,567;604155
Nova Redenção;0,567;922854
Pedra;0,567;610806
São Miguel do Aleixo;0,567;807006
Nova Colinas;0,566;107258
Barcelona;0,566;401503
Major Isidoro;0,566;704401
Santo Antônio dos Lopes;0,566;110302
Concórdia do Pará;0,566;502756
Cubati;0,566;505006
Pimenteiras;0,566;208106
Teofilândia;0,566;931509
Jatobá do Piauí;0,566;205276
Uruoca;0,566;313906
Livramento;0,566;508505
Manoel Vitorino;0,566;920403
Vista Serrana;0,566;505501
Cristino Castro;0,566;203107
Mulungu do Morro;0,566;922052
Lagoa do Mato;0,566;105922
São José do Jacuri;0,566;163508
Calçado;0,566;603306
Serra Preta;0,566;930402
Taperoá;0,566;516508
Prata do Piauí;0,565;208601
Sambaíba;0,565;109700
Senhora do Porto;0,565;166105
São José do Divino;0,565;210052
Buritirama;0,565;904753
Boa Vista do Ramos;0,565;300680
Governador Archer;0,565;104503
Inhambupe;0,565;913705
Camamu;0,565;905800
Jardim de Angicos;0,565;405504
Palmópolis;0,565;146750
Canápolis;0,565;906105
Olho D'Água das Flores;0,565;705705
São José de Caiana;0,565;514305
São José de Princesa;0,565;514552
Mulungu;0,565;309102
Coivaras;0,565;202737
Mato Grosso;0,565;509370
Feliz Deserto;0,565;702702
Buriti dos Lopes;0,565;202000
Cantanhede;0,565;102705
Filadélfia;0,565;707702
Bodocó;0,565;602001
Vila Nova do Piauí;0,565;211605
Peritoró;0,564;108454
Gararu;0,564;802403
Sítio Novo;0,564;111805
Pio Ix;0,564;208205
Galinhos;0,564;404101
Pilõezinhos;0,564;511707
Alenquer;0,564;500404
Josenópolis;0,564;136579
Araripe;0,564;301307
Itapororoca;0,564;507101
Cacimba de Dentro;0,564;503506
Sítio do Mato;0,564;930758
Francinópolis;0,564;204006
Coelho Neto;0,564;103406
Água Azul do Norte;0,564;500347
Igaci;0,564;703106
Baixa Grande do Ribeiro;0,564;201150
Rafael Jambeiro;0,564;925956
Teotônio Vilela;0,564;709152
Porto Alegre do Piauí;0,563;208551
Salgadinho;0,563;513000
Ilha Grande;0,563;204659
Vertente do Lério;0,563;616183
Presidente Juscelino;0,563;109205
Codajás;0,563;301308
Eirunepé;0,563;301407
Patos do Piauí;0,563;207777
Faro;0,563;503002
Heliópolis;0,563;911857
Minador do Negrão;0,563;705309
Almadina;0,563;900900
São Miguel da Baixa Grande;0,563;210383
Presidente Juscelino;0,563;109205
Piçarra;0,563;505635
Bom Conselho;0,563;602100
Madeiro;0,563;205854
Lagoa;0,563;508109
Cajazeiras do Piauí;0,562;202075
Brejo da Madre de Deus;0,562;602605
Marcolândia;0,562;205953
Matias Olímpio;0,562;206100
Orizânia;0,562;145877
Jundiá;0,562;406155
Nazarezinho;0,562;510006
Ilha das Flores;0,562;802700
Ponta de Pedras;0,562;505700
Malhada;0,562;920205
Novo Oriente do Piauí;0,562;206902
Palmeirais;0,562;207504
Trairão;0,562;508050
Cajueiro;0,562;701308
Canudos;0,562;906824
Itatira;0,562;306603
Pedro Laurentino;0,562;207934
Areia de Baraúnas;0,562;501153
Itatuba;0,562;507200
Barra de Santa Rosa;0,562;501609
Itaguaçu da Bahia;0,562;915353
Potengi;0,562;311207
Sebastião Leal;0,562;210631
Bom Lugar;0,562;102077
Brejo;0,562;102101
Marcionílio Souza;0,561;920809
Atalaia;0,561;700409
Bonito;0,561;501600
Anori;0,561;300102
Geminiano;0,561;204352
Itaporanga D'Ajuda;0,561;803203
Turiaçu;0,561;112407
Poço Verde;0,561;805505
Tutóia;0,561;112506
América Dourada;0,561;901155
João Costa;0,561;205359
Cândido Mendes;0,561;102606
Antônio Cardoso;0,561;901700
Dirceu Arcoverde;0,561;203354
Paulino Neves;0,561;108058
Passagem Franca do Piauí;0,561;207751
Socorro do Piauí;0,561;210904
Joselândia;0,561;105609
Caatiba;0,561;904803
Jatobá;0,561;105450
Bonito;0,561;501600
Monsenhor Hipólito;0,561;206506
Campo Grande do Piauí;0,56;202133
Sericita;0,56;166303
Eldorado dos Carajás;0,56;#N/D
Arraial;0,56;201002
Borba;0,56;300805
Goianésia do Pará;0,56;503093
Pilões;0,56;410009
Nordestina;0,56;922656
Amaturá;0,56;300060
São Gonçalo do Gurguéia;0,56;209757
Conde;0,56;504603
Fagundes;0,56;506103
Ourolândia;0,56;923357
Una;0,56;932507
Japoatã;0,56;803401
Planalto;0,56;925006
Boqueirão do Piauí;0,56;201945
Presidente Tancredo Neves;0,559;925758
Arataca;0,559;902252
Pedra Grande;0,559;409506
Olindina;0,559;923100
Betânia;0,559;601805
Irituia;0,559;503507
Fátima;0,559;707553
Quebrangulo;0,559;707602
Pajeú do Piauí;0,559;207355
Granja;0,559;304707
Campestre;0,559;701357
São João da Canabrava;0,559;209856
São João da Varjota;0,559;209955
Saloá;0,559;612307
Gentio do Ouro;0,559;911303
Alto Alegre do Pindaré;0,558;100477
Bom Jesus das Selvas;0,558;102036
Guaratinga;0,558;911808
Borborema;0,558;502706
Ibirapitanga;0,558;912707
Bernardino Batista;0,558;502052
Pedra Preta;0,558;409605
Rio Vermelho;0,558;156007
Nova Olinda do Norte;0,558;303106
Morpará;0,558;921609
Espírito Santo;0,558;403509
Jacaraú;0,558;507309
Baraúna;0,558;401453
São Sebastião da Boa Vista;0,558;507706
Santo Antônio do Itambé;0,558;160207
Caraí;0,558;113008
Palestina;0,558;706208
Palmeira do Piauí;0,557;207405
Barra;0,557;902708
Serra Azul de Minas;0,557;166501
Tobias Barreto;0,557;807402
Careiro;0,557;301100
Campo Alegre de Lourdes;0,557;905909
Montanhas;0,557;407708
Santa Cruz do Arari;0,557;506401
Cansanção;0,557;906808
Barra de Santo Antônio;0,557;700508
Beneditinos;0,557;201606
Barreiras do Piauí;0,557;201309
São José dos Basílios;0,557;111250
São Félix de Balsas;0,557;110807
Imaculada;0,557;506707
Presidente Sarney;0,557;109270
Floresta Azul;0,557;911006
Lago Verde;0,557;105906
Flores;0,556;605608
Santa Luzia;0,556;110005
Buriticupu;0,556;102325
São Miguel do Tapuio;0,556;210409
Ninheira;0,556;144656
Formosa da Serra Negra;0,556;104099
Itabaianinha;0,556;803005
Jaguaripe;0,556;917805
São José dos Cordeiros;0,556;514800
Jequiá da Praia;0,556;703759
Palmeirândia;0,556;107605
Gurinhém;0,556;506400
Venha-Ver;0,555;414753
Seridó;0,555;#N/D
Cocal de Telha;0,555;202711
São Bento do Norte;0,555;411601
Curralinhos;0,555;203255
Nova Soure;0,555;922904
Novo Oriente de Minas;0,555;145356
Pacatuba;0,555;309706
Santa Quitéria do Maranhão;0,555;110104
Jurema;0,555;205532
Tanque D'Arca;0,555;709004
Tufilândia;0,555;112274
Riachão do Poço;0,555;512762
Várzea Nova;0,555;933158
Teolândia;0,555;931608
Amarante do Maranhão;0,555;100600
Andaraí;0,555;901304
Caraíbas;0,555;906899
Nova Santa Rita;0,554;207959
Bela Vista do Maranhão;0,554;101772
Alto Alegre do Maranhão;0,554;100436
Joaquim Nabuco;0,554;608206
Penalva;0,554;108306
Tacaimbó;0,554;614709
Avelino Lopes;0,554;201101
Novo Aripuanã;0,554;303304
São Luis do Piauí;0,554;210375
Novo Triunfo;0,554;923050
Oliveira dos Brejinhos;0,554;923209
Monte Alegre de Sergipe;0,553;804201
Francisco Macedo;0,553;204154
Jiquiriçá;0,553;918209
Imbé de Minas;0,553;130556
Capitão Gervásio Oliveira;0,553;202455
Cajapió;0,553;102408
Itaquara;0,553;916708
Água Preta;0,553;600401
Várzea Branca;0,553;211357
Cristinápolis;0,553;801702
Riachão do Bacamarte;0,553;512754
Lagoa de Pedras;0,553;406304
São João do Tigre;0,552;514107
São José do Jacuípe;0,552;929370
São José do Piauí;0,552;210201
Caracol;0,552;202505
Cruz do Espírito Santo;0,552;504900
Iguaí;0,552;913507
Junco do Maranhão;0,552;105658
Ibimirim;0,552;606606
Quipapá;0,552;611507
Itaipé;0,552;132305
Cardeal da Silva;0,552;907004
Xexéu;0,552;616506
Placas;0,552;505650
Jaramataia;0,552;703700
Lagoa da Canoa;0,552;704104
Bujaru;0,552;501907
Apuarema;0,552;901957
Tacima;0,551;516409
Manoel Urbano;0,551;200344
Lagoa dos Gatos;0,551;608701
Porto Real do Colégio;0,551;707503
Boa Vista do Tupim;0,551;903805
Belém do Piauí;0,551;201572
Barra do Choça;0,551;902906
Tomar do Geru;0,551;807501
Cajazeirinhas;0,55;503753
Água Fria;0,55;900405
Santa Luzia;0,55;110005
Domingos Mourão;0,55;203420
Ipecaetá;0,55;913804
Matões;0,55;106607
Cumaru do Norte;0,55;502764
Maranhãozinho;0,55;106375
Lagoa Alegre;0,55;205557
Jandaíra;0,55;405108
Jucati;0,55;608255
Ipubi;0,55;607307
São João do Araguaia;0,55;507508
Ielmo Marinho;0,55;404606
Morro do Chapéu do Piauí;0,55;206670
Ipirá;0,549;914000
Parazinho;0,549;408805
Paulo Ramos;0,549;108108
Dom Inocêncio;0,549;203453
São Sebastião;0,549;708808
Saúde;0,549;929800
Altamira do Maranhão;0,549;100402
Água Branca;0,549;200202
Capoeiras;0,549;603801
São Vicente Ferrer;0,549;111706
Porto;0,549;208502
Santa Cruz;0,549;411205
Muquém de São Francisco;0,549;#N/D
Araçagi;0,549;500809
Palmeirina;0,549;610103
Carauari;0,549;301001
Tonantins;0,548;304237
Rurópolis;0,548;506195
Jacuípe;0,548;703502
São Domingos;0,548;513968
São Miguel de Taipu;0,548;515005
Morros;0,548;107100
Mari;0,548;509107
Buriti;0,548;102200
Juripiranga;0,548;507903
Aporá;0,548;901908
Anapu;0,548;500859
Santa Maria do Cambucá;0,548;612703
Capitão Poço;0,548;502301
Aroeiras;0,548;501302
Pariconha;0,548;706422
Arara;0,548;500908
Algodão de Jandaíra;0,548;500577
Gilbués;0,548;204402
Fartura do Piauí;0,548;203750
Jeremoabo;0,547;918100
Ouro Branco;0,547;408508
Muaná;0,547;504901
Moju;0,547;504703
Flores do Piauí;0,547;203800
Serraria;0,547;515906
Igarapé-Miri;0,547;503309
Nilo Peçanha;0,547;922607
Brejão;0,547;602407
Cajueiro da Praia;0,546;202083
Lajedinho;0,546;919009
Santa Brígida;0,546;927606
Caém;0,546;905107
Cachoeira do Arari;0,546;502004
Bonito;0,546;501600
Monção;0,546;106904
Benedito Leite;0,546;101806
Adustina;0,546;900355
Doutor Ulysses;0,546;128633
Santa Luzia do Pará;0,546;506559
Coronel José Dias;0,546;202851
Icatu;0,546;105104
Bom Jesus da Serra;0,546;903953
São José da Vitória;0,546;929354
Nova Canaã;0,545;922706
Boa Vista do Gurupi;0,545;101970
Lagoa Real;0,545;918753
Mirador;0,545;106706
Luzilândia;0,545;205805
Terezinha;0,545;615102
Dona Inês;0,545;505709
Batalha;0,545;201507
Santa Luzia do Itanhy;0,545;806305
Wall Ferraz;0,544;211704
Fruta de Leite;0,544;127073
Wenceslau Guimarães;0,544;933505
Encruzilhada;0,544;910404
Santa Maria das Barreiras;0,544;506583
Campinas do Piauí;0,544;202109
Campos Lindos;0,544;703842
Santa Filomena;0,544;209203
Governador Luiz Rocha;0,544;104628
Itiúba;0,544;917003
Quijingue;0,544;925907
Manaíra;0,543;509008
Crisópolis;0,543;909604
Quatipuru;0,543;506112
Itagi;0,543;915106
Frei Lagonegro;0,543;126950
Currais;0,542;203230
Pedro Régis;0,542;512721
Morro Cabeça no Tempo;0,542;206654
Setubinha;0,542;165552
Caetanos;0,542;905156
Mãe D'Água;0,542;508703
Centro do Guilherme;0,542;103158
Mirangaba;0,542;921401
Vargem Grande;0,542;112704
Alto Alegre;0,542;400050
Parnarama;0,542;107803
Presidente Jânio Quadros;0,542;925709
Bonfim do Piauí;0,542;201929
Itainópolis;0,541;205003
Pio Xii;0,541;108702
Caridade do Piauí;0,541;202554
Taquarana;0,541;709103
Lagoa do Sítio;0,541;205599
Monte Formoso;0,541;143153
Luís Correia;0,541;205706
Jucuruçu;0,541;918456
Limoeiro do Ajuru;0,541;504000
Aveiro;0,541;501006
Canhotinho;0,541;603702
Natuba;0,541;509909
Ladainha;0,541;137007
São José dos Ramos;0,541;514453
Padre Marcos;0,541;207207
Porto de Pedras;0,541;707404
Riacho Frio;0,541;208858
São Benedito do Rio Preto;0,541;110401
Matinhas;0,541;509339
Catuji;0,54;115458
Ribeirão do Largo;0,54;926657
Dário Meira;0,54;910008
Salitre;0,54;311959
São Luís Gonzaga do Maranhão;0,54;111409
Anagé;0,54;901205
Brejo Grande;0,54;800704
Riachão do Dantas;0,539;805802
Tarauacá;0,539;200609
Miguel Alves;0,539;206209
Monteirópolis;0,539;705408
São João de Pirabas;0,539;507474
Feijó;0,539;200302
Várzea da Roça;0,539;933059
Campinápolis;0,538;102603
Floresta do Piauí;0,538;203859
Biritinga;0,538;903607
Bom Jardim;0,538;102002
Maetinga;0,538;919959
Senador Alexandre Costa;0,538;111748
Novo Repartimento;0,537;505064
Paranatama;0,537;610301
Bonito de Minas;0,537;108255
Timbiras;0,537;112100
Bacurituba;0,537;101350
Campo Alegre do Fidalgo;0,537;202117
Cachoeira Grande;0,537;102374
Capinzal do Norte;0,537;102754
São Joaquim do Monte;0,537;613305
Girau do Ponciano;0,536;702900
Mataraca;0,536;509305
São Luís do Quitunde;0,536;708501
Araponga;0,536;103702
Turilândia;0,536;112456
Sebastião Barros;0,536;210623
Correntes;0,536;604700
Coronel João Sá;0,535;909208
São Miguel do Fidalgo;0,535;210391
Santana de Mangueira;0,535;513505
Jacobina do Piauí;0,535;205151
Humberto de Campos;0,535;105005
Maraial;0,534;609204
Estrela de Alagoas;0,534;702553
Araci;0,534;902104
Salgadinho;0,534;513000
Lastro;0,533;508406
Matões do Norte;0,533;106631
Duque Bacelar;0,533;103901
Araguanã;0,533;702158
Capim;0,533;504033
Santa Filomena;0,533;209203
Coité do Nóia;0,533;702009
Feira Grande;0,533;702603
Piraí do Norte;0,533;924678
Passo de Camaragibe;0,533;706505
Sítio do Quinto;0,533;930766
Nossa Senhora dos Remédios;0,533;206803
Dois Riachos;0,532;702504
Porto Walter;0,532;200393
Bom Princípio do Piauí;0,532;201919
Passagem Franca;0,532;107902
Guajará;0,532;301654
Feira Nova do Maranhão;0,532;104073
São Domingos do Capim;0,532;507201
Traipu;0,532;709202
Cacimbinhas;0,531;701209
Lábrea;0,531;302405
Joaquim Gomes;0,531;703809
Tracuateua;0,531;508035
Alagoinha do Piauí;0,531;200251
São Benedito do Sul;0,53;612901
São José da Lagoa Tapada;0,53;514206
Fonte Boa;0,53;301605
Canutama;0,53;300904
Murici dos Portelas;0,53;206696
Jataúba;0,53;608008
João Dias;0,53;405900
São João das Missões;0,529;162450
Poço Redondo;0,529;805406
Marcação;0,529;509057
Lagoa de São Francisco;0,529;205573
Afonso Cunha;0,529;100105
Curral de Cima;0,529;505279
Acauã;0,528;200053
Itupiranga;0,528;503705
Tremedal;0,528;931806
Novo Santo Antônio;0,528;206951
Campo Largo do Piauí;0,528;202174
Poção;0,528;611200
São Francisco do Maranhão;0,528;110906
Iati;0,528;606507
Mirante;0,527;921450
Alvarães;0,527;300029
Curral Novo do Piauí;0,527;203271
Flexeiras;0,527;702801
Milagres do Maranhão;0,527;106672
Murici;0,527;705507
São José da Tapera;0,527;708402
Uarini;0,527;304260
Sátiro Dias;0,527;929701
Buíque;0,527;602803
Garrafão do Norte;0,526;503077
Pavussu;0,526;207850
Carneiros;0,526;701803
Águas Belas;0,526;600500
Poço das Trincheiras;0,526;707206
Japorã;0,526;004809
Santa Filomena do Maranhão;0,525;109759
Massapê do Piauí;0,525;206050
Olho D'Água do Casado;0,525;705804
Santa Cecília;0,525;513158
Craíbas;0,525;702355
Poço Dantas;0,525;512036
Lagoa do Ouro;0,525;608602
Macajuba;0,524;919603
Cuité de Mamanguape;0,524;505238
Campo Grande;0,524;401305
Nova Itarana;0,524;922805
Jaicós;0,524;205201
Prainha;0,523;506005
Cacimbas;0,523;503555
Cajari;0,523;102507
São João do Arraial;0,523;209971
Inajá;0,523;607000
Juruá;0,522;302207
Caetés;0,522;603207
Japurá;0,522;302108
Joaquim Pires;0,522;205409
Damião;0,521;505352
Araioses;0,521;100907
Governador Newton Bello;0,521;104651
Novo Lino;0,521;705606
São Paulo de Olivença;0,521;303908
Amapá do Maranhão;0,52;100550
Augusto Corrêa;0,52;500909
Ribeira do Piauí;0,52;208874
Serrano do Maranhão;0,519;111789
Aroeiras do Itaim;0,519;200954
Tupanatinga;0,519;615805
Santana do Mundaú;0,519;708105
Aurora do Pará;0,519;500958
Brejo de Areia;0,519;102150
Santo Amaro do Maranhão;0,518;110278
Itaipava do Grajaú;0,518;105351
Ibateguara;0,518;703007
Centro Novo do Maranhão;0,518;103174
Senador Rui Palmeira;0,518;708956
Lamarão;0,518;919108
Santa Rosa do Purus;0,517;200435
Belo Monte;0,517;700904
São João do Soter;0,517;111078
Colônia Leopoldina;0,517;702108
São Raimundo do Doca Bezerra;0,516;111631
Pedro do Rosário;0,516;108256
São Roberto;0,516;111672
Jutaí;0,516;302306
Viseu;0,515;508308
São João da Fronteira;0,515;209872
Pacajá;0,515;505486
Umburanas;0,515;932457
Queimada Nova;0,515;208650
Brejo do Piauí;0,515;201988
Senador José Porfírio;0,514;507805
Pau D'Arco do Piauí;0,514;207793
Casserengue;0,514;504157
Pedro Alexandre;0,513;924207
Branquinha;0,513;701100
Aldeias Altas;0,513;100303
Gado Bravo;0,513;506251
Ribeira do Amparo;0,512;926509
Conceição do Lago-Açu;0,512;103554
Primeira Cruz;0,512;109403
Belágua;0,512;101731
Arame;0,512;100956
Ibiquera;0,511;912608
Santana do Maranhão;0,51;110237
Itaíba;0,51;607505
Paquetá;0,509;207553
Gurupá;0,509;503101
Jurema;0,509;205532
São João do Carú;0,509;111029
Envira;0,509;301506
Milton Brandão;0,508;206357
Guaribas;0,508;204550
Oeiras do Pará;0,507;505205
Pilão Arcado;0,506;924405
Canapi;0,506;701605
Monte Santo;0,506;921500
Acará;0,506;500206
Beruri;0,506;300631
Jacareacanga;0,505;503754
Caraúbas do Piauí;0,505;202539
Roteiro;0,505;707800
Mata Grande;0,504;705002
Joca Marques;0,504;205458
Porto de Moz;0,503;505908
Vera Mendes;0,503;211506
Olho D'Água Grande;0,503;705903
Breves;0,503;501808
Curralinho;0,502;502806
Nova Esperança do Piriá;0,502;504950
Lagoa do Barro do Piauí;0,502;205565
Tapauá;0,502;304104
Lagoa Grande do Maranhão;0,502;105963
Marechal Thaumaturgo;0,501;200351
Tamboril do Piauí;0,501;210953
Barcelos;0,5;300409
Água Doce do Maranhão;0,5;100154
Recursolândia;0,5;718501
Assunção do Piauí;0,499;201051
Maraã;0,498;302801
Cocal dos Alves;0,498;202729
Cocal;0,497;202703
Pauini;0,496;303502
Olivença;0,493;706000
Satubinha;0,493;111722
Jenipapo dos Vieiras;0,49;105476
Santo Antônio do Içá;0,49;303700
Betânia do Piauí;0,489;201739
Afuá;0,489;500305
Ipixuna do Pará;0,489;503457
Caxingó;0,488;202653
Manari;0,487;609154
Itapicuru;0,486;916500
São Francisco de Assis do Piauí;0,485;209658
Anajás;0,484;500701
Amajari;0,484;400027
Inhapi;0,484;703304
Portel;0,483;505809
Ipixuna;0,481;301803
Santa Isabel do Rio Negro;0,479;303601
Itamarati;0,477;301951
Cachoeira do Piriá;0,473;501956
Bagre;0,471;501105
Jordão;0,469;200328
Chaves;0,453;502509
Uiramutã;0,453;400704
Marajá do Sena;0,452;106359
Atalaia do Norte;0,45;300201
Fernando Falcão;0,443;104081
Melgaço;0,418;504505
