COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;LAT;LNG;POP_EST_2020;CAPITAL;NOME_ANTIGO_OU_GRAFIA_DIFERENTE;ALT;REGIAO;COD_UE_TSE_2016;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1100072;981;Corumbiara;CORUMBIARA;RO;Rondônia;-1.299.752.024;-6.094.870.117;7220;0;NULL;2.691.711.780.000;N;655;0,613;0,774;0,473;0,63
1100080;21;Costa Marques;COSTA MARQUES;RO;Rondônia;-1.243.601.388;-6.423.165.394;18798;0;NULL;1.452.139.030.000;N;213;0,611;0,751;0,493;0,616
1100098;25;Espigão D'Oeste;ESPIGAO DOESTE;RO;Rondônia;-1.152.855.463;-6.102.017.311;32695;0;NULL;2.625.272.250.000;N;256;0,672;0,819;0,536;0,691
1100106;1;Guajará-Mirim;GUAJARA MIRIM;RO;Rondônia;-1.077.388.374;-6.532.395.182;46556;0;NULL;1.334.143.810.000;N;19;0,657;0,823;0,519;0,663
1100114;15;Jaru;JARU;RO;Rondônia;-1.043.594.877;-6.247.623.071;51620;0;NULL;1.625.513.280.000;N;159;0,689;0,825;0,577;0,687
1100122;5;Ji-Paraná;JI PARANA;RO;Rondônia;-1.088.205.132;-6.194.509.458;130009;0;NULL;1.572.626.730.000;N;51;0,714;0,81;0,617;0,728
1100130;39;Machadinho D'Oeste;MACHADINHO DOESTE;RO;Rondônia;-942.556.248;-6.199.959.257;40867;0;NULL;1.441.990.900.000;N;396;0,596;0,755;0,446;0,629
1100148;41;Nova Brasilândia D'Oeste;NOVA BRASILANDIA DOESTE;RO;Rondônia;-1.172.132.541;-6.230.823.016;20489;0;NULL;2.594.174.750.000;N;370;0,643;0,763;0,524;0,664
1100155;17;Ouro Preto do Oeste;OURO PRETO DO OESTE;RO;Rondônia;-107.235.739;-6.226.105.519;35737;0;NULL;2.521.676.490.000;N;175;0,682;0,812;0,569;0,687
1100189;11;Pimenta Bueno;PIMENTA BUENO;RO;Rondônia;-1.167.753.699;-6.118.366.567;36881;0;NULL;1.861.740.330.000;N;116;0,71;0,803;0,613;0,726
1100205;3;Porto Velho;PORTO VELHO;RO;Rondônia;-876.889.179;-6.383.144.565;539354;1;NULL;868.954.150.000;N;35;0,736;0,819;0,638;0,764
1100254;19;Presidente Médici;PRESIDENTE MEDICI;RO;Rondônia;-1.117.320.502;-6.190.943.868;18571;0;NULL;1.782.223.750.000;N;191;0,664;0,792;0,55;0,671
1100262;687;Rio Crespo;RIO CRESPO;RO;Rondônia;-970.553.671;-6.290.001.037;3804;0;NULL;1.243.222.150.000;N;647;0,643;0,813;0,513;0,637
1100288;29;Rolim de Moura;ROLIM DE MOURA;RO;Rondônia;-1.172.225.891;-6.178.578.094;55407;0;NULL;2.267.111.030.000;N;299;0,7;0,808;0,598;0,709
1100296;43;Santa Luzia D'Oeste;SANTA LUZIA DOESTE;RO;Rondônia;-1.190.842.333;-6.177.330.546;6216;0;NULL;2.652.341.570.000;N;353;0,67;0,812;0,564;0,657
1100304;13;Vilhena;VILHENA;RO;Rondônia;-1.274.137.347;-6.013.858.387;102211;0;NULL;5.950.937.690.000;N;132;0,731;0,808;0,659;0,734
1100320;45;São Miguel do Guaporé;SAO MIGUEL DO GUAPORE;RO;Rondônia;-1.169.948.974;-6.272.006.348;23077;0;NULL;1.910.826.280.000;N;418;0,646;0,781;0,537;0,644
1100338;47;Nova Mamoré;NOVA MAMORE;RO;Rondônia;-1.041.177.129;-6.532.914.902;31392;0;NULL;1.509.306.040.000;N;434;0,587;0,769;0,424;0,619
1100346;35;Alvorada D'Oeste;ALVORADA DOESTE;RO;Rondônia;-1.134.413.002;-6.227.727.487;14106;0;NULL;1.824.001.300.000;N;337;0,643;0,763;0,534;0,654
1100379;2;Alto Alegre dos Parecis;ALTO ALEGRE DOS PARECIS;RO;Rondônia;-1.213.177.722;-6.185.307.717;13255;0;NULL;3.965.605.440.000;N;736;0,592;0,777;0,443;0,603
1100403;675;Alto Paraíso;ALTO PARAISO;RO;Rondônia;-9.716.666.738;-6.331.762.943;21847;0;NULL;1.280.001.120.000;N;639;0,625;0,804;0,457;0,664
