epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202113,2021-03-31,320,AL,Dois Riachos,2702504,city,460,4156.50131,11,5,0,0.0109,11067,False,False
202113,2021-03-31,313,AL,Estrela de Alagoas,2702553,city,275,1506.43659,4,6,0,0.0218,18255,False,False
202113,2021-03-31,320,AL,Feira Grande,2702603,city,566,2552.07864,0,8,0,0.0141,22178,False,False
202113,2021-03-31,316,AL,Feliz Deserto,2702702,city,115,2406.36116,3,4,0,0.0348,4779,False,False
202113,2021-03-31,328,AL,Flexeiras,2702801,city,419,3271.64832,9,8,0,0.0191,12807,False,False
202113,2021-03-31,316,AL,Girau do Ponciano,2702900,city,1532,3715.11022,1,27,0,0.0176,41237,False,False
202113,2021-03-31,347,AL,Ibateguara,2703007,city,503,3218.788,0,11,0,0.0219,15627,False,False
202113,2021-03-31,325,AL,Igaci,2703106,city,456,1780.34592,4,6,0,0.0132,25613,False,False
202113,2021-03-31,313,AL,Igreja Nova,2703205,city,755,3070.85333,5,10,0,0.0132,24586,False,False
202113,2021-03-31,368,AL,Importados/Indefinidos,,city,3,,0,3,0,1.0,,False,False
202113,2021-03-31,329,AL,Inhapi,2703304,city,231,1255.98086,3,6,1,0.026,18392,False,False
202113,2021-03-31,313,AL,Jacaré dos Homens,2703403,city,185,3544.74037,1,1,0,0.0054,5219,False,False
202113,2021-03-31,320,AL,Jacuípe,2703502,city,114,1627.17671,1,4,0,0.0351,7006,False,False
202113,2021-03-31,326,AL,Japaratinga,2703601,city,284,3379.74533,0,8,0,0.0282,8403,False,False
202113,2021-03-31,334,AL,Jaramataia,2703700,city,74,1284.49922,1,1,0,0.0135,5761,False,False
202113,2021-03-31,334,AL,Jequiá da Praia,2703759,city,459,3978.84882,5,9,0,0.0196,11536,False,False
202113,2021-03-31,335,AL,Joaquim Gomes,2703809,city,694,2881.94012,1,17,0,0.0245,24081,False,False
202113,2021-03-31,323,AL,Jundiá,2703908,city,112,2707.2758,2,3,0,0.0268,4137,False,False
202113,2021-03-31,337,AL,Junqueiro,2704005,city,780,3155.08454,0,28,0,0.0359,24722,False,False
202113,2021-03-31,337,AL,Lagoa da Canoa,2704104,city,641,3607.00017,6,16,0,0.025,17771,False,False
202113,2021-03-31,343,AL,Limoeiro de Anadia,2704203,city,749,2603.31584,3,21,0,0.028,28771,False,False
202113,2021-03-31,389,AL,Maceió,2704302,city,60448,5895.29531,713,1603,34,0.0265,1025360,False,False
202113,2021-03-31,327,AL,Major Isidoro,2704401,city,566,2849.37576,0,16,0,0.0283,19864,False,False
202113,2021-03-31,342,AL,Maragogi,2704500,city,1068,3233.22838,3,28,1,0.0262,33032,False,False
202113,2021-03-31,325,AL,Maravilha,2704609,city,157,1743.66948,3,8,1,0.051,9004,False,False
202113,2021-03-31,363,AL,Marechal Deodoro,2704708,city,4394,8388.69798,41,63,3,0.0143,52380,False,False
202113,2021-03-31,345,AL,Maribondo,2704807,city,395,2994.01198,0,16,0,0.0405,13193,False,False
202113,2021-03-31,320,AL,Mar Vermelho,2704906,city,70,2003.43446,0,1,0,0.0143,3494,False,False
202113,2021-03-31,315,AL,Mata Grande,2705002,city,313,1241.71857,0,11,0,0.0351,25207,False,False
202113,2021-03-31,340,AL,Matriz de Camaragibe,2705101,city,1198,4863.19721,2,27,0,0.0225,24634,False,False
202113,2021-03-31,332,AL,Messias,2705200,city,788,4370.25123,0,23,0,0.0292,18031,False,False
202113,2021-03-31,314,AL,Minador do Negrão,2705309,city,111,2085.68207,3,4,0,0.036,5322,False,False
202113,2021-03-31,322,AL,Monteirópolis,2705408,city,169,2358.68807,0,2,0,0.0118,7165,False,False
202113,2021-03-31,347,AL,Murici,2705507,city,781,2756.50302,9,38,1,0.0487,28333,False,False
202113,2021-03-31,336,AL,Novo Lino,2705606,city,146,1143.84206,1,9,0,0.0616,12764,False,False
202113,2021-03-31,341,AL,Olho d'Água das Flores,2705705,city,1259,5791.70117,2,26,2,0.0207,21738,False,False
202113,2021-03-31,317,AL,Olho d'Água do Casado,2705804,city,77,815.59157,1,2,0,0.026,9441,False,False
202113,2021-03-31,313,AL,Olho d'Água Grande,2705903,city,155,3022.6209,1,8,1,0.0516,5128,False,False
202113,2021-03-31,327,AL,Olivença,2706000,city,370,3174.05851,0,6,0,0.0162,11657,False,False
202113,2021-03-31,314,AL,Ouro Branco,2706109,city,164,1421.75986,1,5,0,0.0305,11535,False,False
202113,2021-03-31,338,AL,Palestina,2706208,city,336,6670.63728,0,3,0,0.0089,5037,False,False
202113,2021-03-31,360,AL,Palmeira dos Índios,2706307,city,3095,4220.24353,47,68,0,0.022,73337,False,False
202113,2021-03-31,318,AL,Pão de Açúcar,2706406,city,1026,4213.37933,0,19,0,0.0185,24351,False,False
202113,2021-03-31,307,AL,Pariconha,2706422,city,455,4317.29766,3,1,0,0.0022,10539,False,False
202113,2021-03-31,343,AL,Paripueira,2706448,city,227,1702.67027,0,12,0,0.0529,13332,False,False
202113,2021-03-31,326,AL,Passo de Camaragibe,2706505,city,441,2890.28706,0,12,0,0.0272,15258,False,False
202113,2021-03-31,337,AL,Paulo Jacinto,2706604,city,227,3002.6455,0,9,0,0.0396,7560,False,False
202113,2021-03-31,338,AL,Penedo,2706703,city,2558,4006.51568,36,25,0,0.0098,63846,False,False
202113,2021-03-31,342,AL,Piaçabuçu,2706802,city,573,3210.44375,0,16,0,0.0279,17848,False,False
202113,2021-03-31,346,AL,Pilar,2706901,city,2193,6227.99046,14,32,0,0.0146,35212,False,False
202113,2021-03-31,327,AL,Pindoba,2707008,city,84,2891.56627,0,1,0,0.0119,2905,False,False
202113,2021-03-31,320,AL,Piranhas,2707107,city,674,2676.40869,14,13,0,0.0193,25183,False,False
202113,2021-03-31,327,AL,Poço das Trincheiras,2707206,city,309,2143.15439,0,5,2,0.0162,14418,False,False
202113,2021-03-31,341,AL,Porto Calvo,2707305,city,967,3548.75408,12,24,0,0.0248,27249,False,False
202113,2021-03-31,321,AL,Porto de Pedras,2707404,city,276,3583.95014,13,5,0,0.0181,7701,False,False
202113,2021-03-31,372,AL,Porto Real do Colégio,2707503,city,465,2312.05251,0,8,0,0.0172,20112,False,False
202113,2021-03-31,327,AL,Quebrangulo,2707602,city,653,5805.47653,5,8,0,0.0123,11248,False,False
202113,2021-03-31,351,AL,Rio Largo,2707701,city,2244,2976.36417,47,89,0,0.0397,75394,False,False
202113,2021-03-31,320,AL,Roteiro,2707800,city,220,3308.76824,4,9,0,0.0409,6649,False,False
202113,2021-03-31,342,AL,Santa Luzia do Norte,2707909,city,378,5163.93443,16,7,0,0.0185,7320,False,False
202113,2021-03-31,335,AL,Santana do Ipanema,2708006,city,3494,7306.71909,74,51,4,0.0146,47819,False,False
202113,2021-03-31,314,AL,Santana do Mundaú,2708105,city,535,5006.08216,11,9,0,0.0168,10687,False,False
202113,2021-03-31,313,AL,São Brás,2708204,city,295,4233.032,3,3,0,0.0102,6969,False,False
202113,2021-03-31,330,AL,São José da Laje,2708303,city,916,3817.30288,13,17,0,0.0186,23996,False,False
202113,2021-03-31,322,AL,São José da Tapera,2708402,city,1098,3388.36599,12,24,1,0.0219,32405,False,False
202113,2021-03-31,328,AL,São Luís do Quitunde,2708501,city,990,2853.68385,1,22,0,0.0222,34692,False,False
202113,2021-03-31,342,AL,São Miguel dos Campos,2708600,city,2760,4466.23623,46,60,2,0.0217,61797,False,False
202113,2021-03-31,348,AL,São Miguel dos Milagres,2708709,city,189,2358.66717,8,8,0,0.0423,8013,False,False
202113,2021-03-31,341,AL,São Sebastião,2708808,city,1072,3126.27588,10,21,0,0.0196,34290,False,False
202113,2021-03-31,352,AL,Satuba,2708907,city,785,5632.89323,8,25,0,0.0318,13936,False,False
202113,2021-03-31,317,AL,Senador Rui Palmeira,2708956,city,242,1738.38086,10,7,1,0.0289,13921,False,False
202113,2021-03-31,321,AL,Tanque d'Arca,2709004,city,224,3649.3972,8,3,0,0.0134,6138,False,False
202113,2021-03-31,336,AL,Taquarana,2709103,city,479,2386.40893,0,9,0,0.0188,20072,False,False
202113,2021-03-31,334,AL,Teotônio Vilela,2709152,city,1486,3348.9588,42,47,0,0.0316,44372,False,False
202113,2021-03-31,313,AL,Traipu,2709202,city,360,1293.75404,5,12,0,0.0333,27826,False,False
202113,2021-03-31,350,AL,União dos Palmares,2709301,city,1449,2202.46238,7,66,2,0.0455,65790,False,False
202113,2021-03-31,348,AL,Viçosa,2709400,city,986,3837.62114,25,17,0,0.0172,25693,False,False
202113,2021-03-31,389,AL,,27,state,153490,4579.68166,624,3554,21,0.0232,3351543,False,False
202113,2021-03-31,332,AM,Alvarães,1300029,city,2619,16146.73243,8,35,0,0.0134,16220,False,False
202113,2021-03-31,342,AM,Amaturá,1300060,city,2018,17194.95569,0,17,0,0.0084,11736,False,False
202113,2021-03-31,352,AM,Anamã,1300086,city,1583,11342.79163,10,6,2,0.0038,13956,False,False
202113,2021-03-31,368,AM,Anori,1300102,city,1811,8432.27639,4,30,1,0.0166,21477,False,False
202113,2021-03-31,328,AM,Apuí,1300144,city,1061,4745.29272,0,21,0,0.0198,22359,False,False
202113,2021-03-31,336,AM,Atalaia do Norte,1300201,city,2552,12511.03049,0,7,0,0.0027,20398,False,False
202113,2021-03-31,346,AM,Autazes,1300300,city,2608,6473.07024,7,85,0,0.0326,40290,False,False
202113,2021-03-31,344,AM,Barcelos,1300409,city,4018,14537.95499,6,53,0,0.0132,27638,False,False
202113,2021-03-31,334,AM,Barreirinha,1300508,city,2218,6828.18705,12,60,0,0.0271,32483,False,False
202113,2021-03-31,344,AM,Benjamin Constant,1300607,city,2573,5856.37874,0,69,0,0.0268,43935,False,False
202113,2021-03-31,345,AM,Beruri,1300631,city,1985,9879.06236,1,31,0,0.0156,20093,False,False
202113,2021-03-31,333,AM,Boa Vista do Ramos,1300680,city,819,4173.03577,1,11,0,0.0134,19626,False,False
202113,2021-03-31,371,AM,Boca do Acre,1300706,city,2376,6860.1126,4,22,0,0.0093,34635,False,False
202113,2021-03-31,339,AM,Borba,1300805,city,1565,3748.68257,37,48,1,0.0307,41748,False,False
202113,2021-03-31,342,AM,Caapiranga,1300839,city,542,4080.40352,1,20,0,0.0369,13283,False,False
202113,2021-03-31,347,AM,Canutama,1300904,city,1138,7199.34206,38,8,0,0.007,15807,False,False
202113,2021-03-31,350,AM,Carauari,1301001,city,6052,21229.12867,18,49,0,0.0081,28508,False,False
202113,2021-03-31,355,AM,Careiro,1301100,city,4155,10834.98488,9,77,0,0.0185,38348,False,False
202113,2021-03-31,366,AM,Careiro da Várzea,1301159,city,885,2869.09162,1,22,0,0.0249,30846,False,False
202113,2021-03-31,349,AM,Coari,1301209,city,9202,10711.20941,9,203,0,0.0221,85910,False,False
202113,2021-03-31,342,AM,Codajás,1301308,city,1860,6376.85134,35,18,0,0.0097,29168,False,False
202113,2021-03-31,335,AM,Eirunepé,1301407,city,3968,11114.84594,2,21,0,0.0053,35700,False,False
202113,2021-03-31,308,AM,Envira,1301506,city,1839,9017.80023,26,6,0,0.0033,20393,False,False
202113,2021-03-31,342,AM,Fonte Boa,1301605,city,1374,8079.97648,35,30,0,0.0218,17005,False,False
202113,2021-03-31,322,AM,Guajará,1301654,city,1435,8472.57484,7,22,0,0.0153,16937,False,False
202113,2021-03-31,340,AM,Humaitá,1301704,city,6977,12426.9735,10,131,0,0.0188,56144,False,False
