CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos cirúrgicos: Cirurgia geral
Período:Mar/2020-Abr/2021
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr"
"130300 Nhamundá";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130310 Nova Olinda do Norte";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130320 Novo Airão";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130330 Novo Aripuanã";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130340 Parintins";19;19;19;19;19;19;19;19;19;19;19;19;19;19
"130350 Pauini";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"130353 Presidente Figueiredo";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"130356 Rio Preto da Eva";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130360 Santa Isabel do Rio Negro";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130370 Santo Antônio do Içá";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"130380 São Gabriel da Cachoeira";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"130390 São Paulo de Olivença";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"130395 São Sebastião do Uatumã";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"130400 Silves";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"130406 Tabatinga";6;6;6;6;6;6;22;6;19;16;16;12;12;12
"130410 Tapauá";5;5;5;5;5;5;5;5;2;2;2;2;2;2
"130420 Tefé";11;11;11;11;11;6;6;6;6;6;6;6;12;12
"130423 Tonantins";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"130426 Uarini";2;2;1;1;2;2;2;2;2;2;2;2;2;2
"130430 Urucará";4;4;4;4;4;4;4;4;4;4;3;3;3;3
"130440 Urucurituba";8;8;4;4;4;4;4;4;4;4;8;8;8;8
"140010 Boa Vista";49;49;49;49;49;49;49;49;49;49;49;49;49;49
"140020 Caracaraí";4;4;4;4;4;4;4;4;4;4;4;4;-;4
"140047 Rorainópolis";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150010 Abaetetuba";64;64;64;64;64;64;64;64;64;64;64;64;64;64
"150013 Abel Figueiredo";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150020 Acará";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150030 Afuá";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150034 Água Azul do Norte";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"150040 Alenquer";20;20;20;20;20;20;20;20;20;20;20;20;20;20
"150050 Almeirim";15;15;15;15;15;15;15;15;15;15;15;15;15;15
"150060 Altamira";22;24;22;22;33;33;33;33;33;33;33;16;16;20
"150070 Anajás";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150080 Ananindeua";91;91;91;90;90;90;90;90;90;90;90;90;90;90
"150085 Anapu";7;7;7;7;7;7;7;7;7;7;7;7;7;7
"150090 Augusto Corrêa";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150095 Aurora do Pará";14;14;14;14;14;14;14;14;14;14;14;14;14;14
"150110 Bagre";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150120 Baião";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"150130 Barcarena";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150140 Belém";252;252;252;252;276;270;270;270;270;244;250;250;204;204
"150145 Belterra";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"150157 Bom Jesus do Tocantins";6;6;6;6;6;6;6;6;6;6;6;6;6;6
"150170 Bragança";39;39;40;40;40;40;40;40;40;40;40;39;39;38
"150172 Brasil Novo";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150175 Brejo Grande do Araguaia";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150178 Breu Branco";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150180 Breves";41;41;41;41;41;41;41;41;41;41;41;41;34;34
"150190 Bujaru";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150200 Cachoeira do Arari";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150210 Cametá";32;32;32;32;32;32;32;32;32;32;32;32;32;32
"150215 Canaã dos Carajás";12;12;12;12;12;12;12;12;12;12;12;12;12;12
"150220 Capanema";38;38;38;38;38;38;38;38;38;38;38;38;38;38
"150230 Capitão Poço";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150240 Castanhal";40;40;40;40;40;40;40;40;40;40;40;40;40;40
"150270 Conceição do Araguaia";19;19;19;19;19;19;19;19;19;19;19;19;19;19
"150275 Concórdia do Pará";3;3;3;3;3;3;3;3;3;3;3;3;3;3
"150276 Cumaru do Norte";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150280 Curralinho";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150290 Curuçá";5;5;5;5;5;5;5;5;5;5;5;5;5;5
"150293 Dom Eliseu";17;17;17;17;17;17;17;17;17;17;17;17;17;17
"150295 Eldorado do Carajás";8;8;8;8;8;8;8;8;8;8;8;8;8;8
"150300 Faro";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"150304 Floresta do Araguaia";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150307 Garrafão do Norte";4;4;4;4;4;4;4;4;4;4;4;4;4;4
"150309 Goianésia do Pará";2;2;2;2;2;2;2;2;2;2;2;2;2;2
"150310 Gurupá";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"150320 Igarapé-Açu";10;10;10;10;10;10;10;10;10;10;10;10;10;10
"150330 Igarapé-Miri";26;26;26;26;26;26;26;26;26;26;26;26;26;26
